model,system,input,output,batch,prefill_latency(ms),decode_latency(ms),decode_throughput(tok/s),e2e_latency(ms),e2e_throughput(tok/s),TPOT(ms/token),total_energy(J),energy_per_token(mJ),tokens_per_J
MISTRAL-7B,H100,1024,64,1,46.617,516.24,123.9733457306679,567.02,1918.8035695389933,8.06625,317.5312,4961.425,0.2015549968003144
MISTRAL-7B,H100,1024,128,1,74.629,1697.7,75.39612416799199,1779.3,647.4456246838645,13.26328125,996.408,7784.4375,0.12846143346902072
MISTRAL-7B,H100,1024,256,1,102.03,4716.2,54.280988931767105,4877.7,262.4187629415503,18.42265625,2731.512,10669.96875,0.09372098676483939
MISTRAL-7B,H100,1024,512,1,52.878,8940.1,57.270052907685596,9007.2,170.5302424726885,17.4611328125,5044.032,9851.625,0.10150609670993364
MISTRAL-7B,H100,1024,1024,1,107.96,19919.0,51.40820322305336,20138.0,101.69828185519913,19.4521484375,11277.28,11012.96875,0.0908020373707135
MISTRAL-7B,H100,1024,2048,1,46.557,37878.0,54.06832462115212,37983.0,80.87828765500356,18.4951171875,21270.48,10385.9765625,0.09628367577976614
MISTRAL-7B,H100,2048,32,1,82.904,417.86,76.58067295266356,548.99,3788.775751835188,13.058125,307.43440000000004,9607.325,0.10408724592953812
MISTRAL-7B,H100,2048,64,1,76.432,1157.7,55.282024704154786,1240.4,1702.6765559496935,18.0890625,694.624,10853.5,0.09213617727000506
MISTRAL-7B,H100,2048,128,1,76.969,1031.1,124.13926874212008,1134.3,1918.3637485673985,8.05546875,635.208,4962.5625,0.2015087971184242
MISTRAL-7B,H100,2048,256,1,78.23,2045.9,125.12830539127035,2212.2,1041.4971521562247,7.991796875,1238.832,4839.1875,0.20664626034845723
MISTRAL-7B,H100,2048,512,1,82.425,9308.6,55.00290054358335,9409.1,272.0770318096311,18.180859375,5269.096,10291.203125,0.09717036850343969
MISTRAL-7B,H100,2048,1024,1,77.998,18696.0,54.77107402652974,18796.0,163.43902958076185,18.2578125,10525.76,10279.0625,0.09728513665521539
MISTRAL-7B,H100,2048,2048,1,81.348,37927.0,53.99847074643394,38049.0,107.65066098977634,18.51904296875,21307.44,10404.0234375,0.0961166615980146
MISTRAL-7B,H100,32,32,2,44.338,255.18,250.80335449486637,388.63,329.36211821012273,3.9871875,217.63279999999997,3400.5125,0.29407331983046675
MISTRAL-7B,H100,32,64,2,43.989,515.86,248.12933741712868,564.22,340.29279359115236,4.03015625,315.96320000000003,2468.4625,0.40511046856089566
MISTRAL-7B,H100,32,128,2,49.096,1037.6,246.72320740169624,1091.5,293.17453046266604,4.053125,611.24,2387.65625,0.4188207578038086
MISTRAL-7B,H100,32,256,2,46.248,2084.1,245.66959358955904,2197.7,262.09218728670885,4.0705078125,1230.712,2403.734375,0.41601934489953785
MISTRAL-7B,H100,32,512,2,48.448,4214.8,242.95340229666888,4270.9,254.74724296986585,4.116015625,2391.704,2335.6484375,0.4281466268401106
MISTRAL-7B,H100,32,1024,2,46.87,8293.7,246.9344201020051,8442.8,250.15397735348463,4.049658203125,4727.968,2308.578125,0.43316706035235436
MISTRAL-7B,H100,32,2048,2,46.486,16718.0,245.00538341906926,16852.0,246.85497270353667,4.08154296875,9437.12,2303.984375,0.4340307212369875
MISTRAL-7B,H100,64,32,2,49.676,249.72,256.28704148646483,303.45,632.7236777063767,3.901875,169.932,2655.1875,0.37662123672998615
MISTRAL-7B,H100,64,64,2,46.946,518.32,246.95169007562893,569.82,449.2646800744094,4.049375,319.0992,2492.9625,0.40112917863786557
MISTRAL-7B,H100,64,128,2,48.271,1046.2,244.69508698145668,1099.3,349.31319930865095,4.08671875,615.608,2404.71875,0.4158490467960131
MISTRAL-7B,H100,64,256,2,47.17,2101.5,243.6354984534856,2198.2,291.1473023382768,4.1044921875,1230.992,2404.28125,0.41592471762610966
MISTRAL-7B,H100,64,512,2,46.252,4142.3,247.205658692031,4288.4,268.6316574946367,4.04521484375,2401.504,2345.21875,0.4263994563406932
MISTRAL-7B,H100,64,1024,2,45.624,8327.6,245.9291992891109,8384.7,259.5203167674454,4.0662109375,4695.432,2292.69140625,0.43616859960915205
MISTRAL-7B,H100,64,2048,2,49.204,16626.0,246.36112113557078,16715.0,252.70714926712535,4.05908203125,9360.4,2285.25390625,0.4375881372590915
MISTRAL-7B,H100,128,32,2,99.132,254.04,251.9288301054952,357.64,894.7545017335868,3.969375,200.2784,3129.35,0.3195551791905667
MISTRAL-7B,H100,128,64,2,50.181,516.67,247.74033715911511,612.75,626.6829865361077,4.036484375,343.14,2680.78125,0.37302558722387363
MISTRAL-7B,H100,128,128,2,79.918,1051.9,243.3691415533796,1136.5,450.5059392872855,4.108984375,636.44,2486.09375,0.4022374457922192
MISTRAL-7B,H100,128,256,2,87.853,2106.0,243.11490978157644,2199.7,349.1385188889394,4.11328125,1231.832,2405.921875,0.415641093915404
MISTRAL-7B,H100,128,512,2,48.657,4167.5,245.7108578284343,4223.9,303.0374772130022,4.06982421875,2365.384,2309.9453125,0.4329106817328603
MISTRAL-7B,H100,128,1024,2,47.605,8390.9,244.07393724153548,8450.1,272.6594951539035,4.097119140625,4732.056,2310.57421875,0.4327928494506405
MISTRAL-7B,H100,128,2048,2,49.482,16971.0,241.3528961169053,17100.0,254.50292397660817,4.143310546875,9576.0,2337.890625,0.4277360066833751
MISTRAL-7B,H100,256,32,2,50.519,257.2,248.83359253499225,376.2,1531.1004784688996,4.01875,210.672,3291.75,0.303789777473988
MISTRAL-7B,H100,256,64,2,47.532,524.43,244.0745190015827,591.75,1081.5378115758344,4.097109375,331.38,2588.90625,0.38626350413422655
MISTRAL-7B,H100,256,128,2,49.009,1039.8,246.20119253702637,1093.8,702.1393307734504,4.06171875,612.528,2392.6875,0.41794007784133946
MISTRAL-7B,H100,256,256,2,40.913,2115.7,242.00028359408236,2203.6,464.69413686694503,4.1322265625,1234.016,2410.1875,0.4149054793454866
MISTRAL-7B,H100,128,128,4,44.805,1341.1,381.77615390351207,1478.3,692.6875465061219,2.6193359375,827.848,1616.890625,0.6184710236661803
MISTRAL-7B,H100,128,2048,4,42.952,17246.0,475.0086976690247,17336.0,502.07660359944623,2.105224609375,9708.16,1185.078125,0.8438262245368845
MISTRAL-7B,H100,2048,128,4,282.93,1093.4,468.2641302359612,1381.8,6299.030250398032,2.135546875,773.808,1511.34375,0.6616628414283646
MISTRAL-7B,H100,2048,2048,4,215.59,17926.0,456.98984714939195,18238.0,898.3441166794605,2.188232421875,10213.28,1246.73828125,0.8020929613209468
MISTRAL-7B,H100,32,32,8,98.329,618.38,413.98492836120187,790.76,647.4783752339522,2.415546875,442.82559999999995,1729.7875,0.5781056921731716
MISTRAL-7B,H100,32,64,8,98.63,1248.4,410.12495994873433,1410.2,544.6036023259112,2.43828125,789.712,1542.40625,0.648337621816561
MISTRAL-7B,H100,32,128,8,97.462,2470.0,414.5748987854251,2640.2,484.8117566850996,2.412109375,1478.512,1443.859375,0.6925882238358566
MISTRAL-7B,H100,32,256,8,71.108,3553.1,576.398074920492,3674.0,627.1094175285792,1.734912109375,2057.44,1004.609375,0.9954117738548875
MISTRAL-7B,H100,32,512,8,72.731,9808.5,417.59698220930824,9954.8,437.1760356812794,2.3946533203125,5574.688,1361.0078125,0.7347496398004696
MISTRAL-7B,H100,32,1024,8,56.955,20051.0,408.55817664954367,20139.0,419.4845821540295,2.4476318359375,11277.84,1376.689453125,0.7263802288381463
MISTRAL-7B,H100,32,2048,8,74.795,40034.0,409.252135684668,40154.0,414.4045425113314,2.4434814453125,22486.24,1372.451171875,0.7286233714484946
MISTRAL-7B,H100,64,32,8,49.792,429.94,595.4319207331256,484.19,1586.1541956669903,1.679453125,271.1464,1059.165625,0.9441394021827322
MISTRAL-7B,H100,64,64,8,49.336,558.16,917.2996990110363,611.84,1673.6401673640166,1.09015625,342.6304,669.2,1.4943215780035863
MISTRAL-7B,H100,64,128,8,50.735,1092.5,937.2997711670481,1199.5,1280.5335556481868,1.06689453125,671.72,655.9765625,1.5244447091049842
MISTRAL-7B,H100,64,256,8,49.553,2183.1,938.1155237964363,2238.6,1143.5718752791925,1.065966796875,1253.616,612.1171875,1.6336741075417034
MISTRAL-7B,H100,64,512,8,51.304,4361.6,939.1049156272927,4478.6,1028.892957620685,1.06484375,2508.016,612.30859375,1.6331634247947382
MISTRAL-7B,H100,64,1024,8,49.669,8769.7,934.1254546905823,8830.6,985.6634883246891,1.07052001953125,4945.136,603.654296875,1.6565772913019985
MISTRAL-7B,H100,64,2048,8,50.767,18159.0,902.2523266699708,18262.0,925.1998685795642,1.10833740234375,10226.72,624.189453125,1.6020776945100679
MISTRAL-7B,H100,128,32,8,47.75,291.26,878.9397788917119,343.48,3726.5634098055198,1.137734375,192.3488,751.3625000000001,1.3309155035019713
MISTRAL-7B,H100,128,64,8,61.609,554.88,922.722029988466,703.28,2184.0518712319417,1.08375,393.8368,769.2125,1.3000308757332988
MISTRAL-7B,H100,128,128,8,50.158,1103.6,927.872417542588,1233.0,1660.9894566098947,1.077734375,690.48,674.296875,1.4830263005445488
MISTRAL-7B,H100,128,256,8,48.207,2220.7,922.231728734183,2274.8,1350.4483910673464,1.084326171875,1273.888,622.015625,1.6076766560325555
MISTRAL-7B,H100,128,512,8,48.059,4433.7,923.8333671651217,4489.5,1140.4388016482906,1.0824462890625,2514.12,613.798828125,1.6291982880689864
MISTRAL-7B,H100,128,1024,8,48.013,8816.0,929.2196007259528,8875.4,1038.3757351781328,1.076171875,4970.224,606.716796875,1.6482154526637027
MISTRAL-7B,H100,128,2048,8,61.861,17918.0,914.387766491796,17999.0,967.1648424912495,1.0936279296875,10079.44,615.2001953125,1.625487130237394
MISTRAL-7B,H100,256,32,8,61.151,311.51,821.803473403743,377.07,6110.271302410693,1.2168359375,211.15919999999997,824.8406249999999,1.2123554171449789
MISTRAL-7B,H100,256,64,8,40.455,608.51,841.3994839854727,724.2,3534.9351008008834,1.18849609375,405.552,792.09375,1.2624768217146012
MISTRAL-7B,H100,256,128,8,47.922,1139.0,899.0342405618964,1216.5,2525.277435265105,1.1123046875,681.24,665.2734375,1.5031413305149433
MISTRAL-7B,H100,256,256,8,62.568,2216.0,924.1877256317689,2284.7,1792.7955530266556,1.08203125,1279.432,624.72265625,1.600710315202371
MISTRAL-7B,H100,256,512,8,60.769,4403.0,930.2748126277538,4531.9,1355.7227652860831,1.074951171875,2537.864,619.595703125,1.6139556729596227
MISTRAL-7B,H100,256,1024,8,39.067,9012.6,908.9496926525087,9154.6,1118.5633452035042,1.1001708984375,5126.576,625.802734375,1.597947636005006
MISTRAL-7B,H100,256,2048,8,60.755,18327.0,893.981557265237,18407.0,1001.3581789536589,1.11859130859375,10307.92,629.1455078125,1.5894574269105697
MISTRAL-7B,H100,512,32,8,102.07,329.0,778.1155015197569,435.7,9988.524213908653,1.28515625,243.992,953.09375,1.0492147283517492
MISTRAL-7B,H100,512,64,8,85.297,621.69,823.5615821390081,711.78,6473.910477956672,1.21423828125,398.5968,778.509375,1.2845060472136254
MISTRAL-7B,H100,512,128,8,102.44,1166.5,877.8396913844834,1274.3,4017.8921760966805,1.13916015625,713.608,696.8828125,1.4349614914631004
MISTRAL-7B,H100,512,256,8,61.655,2298.3,891.0934168733411,2372.3,2589.89166631539,1.122216796875,1328.488,648.67578125,1.5416021823305892
