model,system,batch,lin,lout,prefill_latency(ms),decode_latency(ms),e2e_latency(ms),comp_pct,comm_pct,queue_pct,decode_throughput(tok/s),total_energy(J)
LLAMA3-70B,H100-2,1,512,1024,143.13,27910.0,29877.0,0.0,0.0,0.0,36.689358652812615,16731.12
LLAMA3-70B,H100-2,1,2048,128,477.81,7765.2,8688.1,0.0,0.0,0.0,16.48379951578839,4865.336
LLAMA3-70B,H100-2,1,2048,2048,482.65,129890.0,138110.0,0.0,0.0,0.0,15.767187620294097,77341.6
LLAMA3-70B,H100-2,4,128,128,396.53,7897.1,8812.2,0.0,0.0,0.0,64.8339263780375,4934.832
LLAMA3-70B,H100-2,4,128,2048,167.94,130710.0,138570.0,0.0,0.0,0.0,62.67309310687782,77599.2
LLAMA3-70B,H100-2,4,2048,128,1849.2,7804.2,10031.0,0.0,0.0,0.0,65.60569949514364,5617.36
LLAMA3-70B,H100-2,4,2048,2048,1839.6,127510.0,135070.0,0.0,0.0,0.0,64.24594149478472,75639.2
LLAMA3-70B,H100-2,8,32,64,137.23,3907.6,4274.2,0.0,0.0,0.0,131.02671716654726,2393.552
LLAMA3-70B,H100-2,8,128,128,417.52,7966.9,8868.8,0.0,0.0,0.0,128.5318003238399,4966.528
LLAMA3-70B,H100-2,8,128,256,370.37,16032.0,17236.0,0.0,0.0,0.0,127.7445109780439,9652.16
LLAMA3-70B,H100-2,8,128,2048,273.8,130160.0,138530.0,0.0,0.0,0.0,125.8758451137062,77576.8
LLAMA3-70B,H100-2,8,2048,128,3640.5,7929.4,11948.0,0.0,0.0,0.0,129.13965747723665,6690.88
LLAMA3-70B,H100-2,8,2048,2048,3232.0,130770.0,140720.0,0.0,0.0,0.0,125.28867477250134,78803.2
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,8,2048,128,6121.88,294.843,6416.723,43.63,32.76,23.61,3473.03,531.19
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,8,2048,2048,6121.88,5304.493,11426.373,47.58,19.28,33.13,3088.7,1105.36
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,4,2048,128,3093.926,248.912,3342.839,46.21,32.4,21.39,2056.95,278.84
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,1,128,2048,42.492,3082.875,3125.368,73.55,1.85,24.6,664.31,366.15
